in:Product,in:Purchase Type,Quantity,Shipping Method,Package,Dry Ice Fee,Handling Fee,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
EM-1104,Basal Medium Only,"1,2,3,4",2 Day,2,0,0,12,15.63,22.33,35.9,37.44
EM-1104,Basal Medium Only,>4,Overnight,3,0,0,25.44,59,65.95,74.36,78.55
EM-1104,Basal Medium Only,>4,2 Day,3,0,0,15,20,27.45,45.65,47.28
EM-1105,Basal Medium Only,"1,2,3,4",Overnight,2,0,0,22,49,56.78,59,59
EM-1105,Basal Medium Only,"1,2,3,4",2 Day,2,0,0,12,15.63,22.33,35.9,37.44
EM-1105,Basal Medium Only,>4,Overnight,3,0,0,25.44,59,65.95,74.36,78.55
EM-1105,Basal Medium Only,>4,2 Day,3,0,0,15,20,27.45,45.65,47.28
EM-1106,Basal Medium Only,"1,2,3,4",Overnight,2,0,0,22,49,56.78,59,59
EM-1106,Basal Medium Only,"1,2,3,4",2 Day,2,0,0,12,15.63,22.33,35.9,37.44
EM-1106,Basal Medium Only,>4,Overnight,3,0,0,25.44,59,65.95,74.36,78.55
EM-1106,Basal Medium Only,>4,2 Day,3,0,0,15,20,27.45,45.65,47.28
EM-1107,Basal Medium Only,"1,2,3,4",Overnight,2,0,0,22,49,56.78,59,59
EM-1107,Basal Medium Only,"1,2,3,4",2 Day,2,0,0,12,15.63,22.33,35.9,37.44
EM-1107,Basal Medium Only,>4,Overnight,3,0,0,25.44,59,65.95,74.36,78.55
EM-1107,Basal Medium Only,>4,2 Day,3,0,0,15,20,27.45,45.65,47.28
EM-2001,Differentiation Kits Only,"1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-2001,Differentiation Kits Only,>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-2002,Differentiation Kits Only,"1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-2002,Differentiation Kits Only,>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-2003,Differentiation Kits Only,"1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-2003,Differentiation Kits Only,>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-2004,Differentiation Kits Only,"1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-2004,Differentiation Kits Only,>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-2005,Differentiation Kits Only,"1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-2005,Differentiation Kits Only,>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-2006,Differentiation Kits Only,"1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-2006,Differentiation Kits Only,>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1001,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-1001,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1002,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-1002,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1003,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-1003,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1004,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-1004,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1005,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-1005,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1006,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-1006,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1007,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-1007,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1008,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-1008,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1101,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-1101,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1102,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-1102,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1103,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-1103,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1104,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-1104,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1105,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-1105,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1106,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-1106,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-1107,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-1107,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-2001,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-2001,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-2002,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-2002,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-2003,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-2003,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-2004,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-2004,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-2005,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-2005,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
EM-2006,"Combo of Media Kits, Basal and/or Cells","1,2,3,4",Overnight,2,15,0,22,49,56.78,59,59
EM-2006,"Combo of Media Kits, Basal and/or Cells",>4,Overnight,3,15,0,25.44,59,65.95,69,69
ES-84,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-283,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-268,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-98,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-278,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-250,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-256,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-335,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-209,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-194,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-196,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-210,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-207,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-101,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-170,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-139,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-174,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-184,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-198,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-199,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-236,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-263,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-156,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-154,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-700,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
31000,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-701,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ESI-049,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-703,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-706,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-704,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-630,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
ES-520,Cells Only,N/A,Overnight,2,15,0,22,49,56.78,59,59
5020,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
5020,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
5050,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
5050,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
5051,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
5051,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
5005-B,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
5005-B,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
5007-A,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
5007-A,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
5010-D,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
5010-D,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS100,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS100,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS105,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS105,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS204,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS204,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS206,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS206,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS208,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS208,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS208p,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS208p,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS209,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS209,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS209p,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS209p,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS210,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS210,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS210p,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS210p,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS211,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS211,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS211p,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS211p,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS212,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS212,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS213,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS213,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS213p,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS213p,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS214,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS214,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS214p,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS214p,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS215,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS215,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS217,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS217,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS220,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS220,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS222,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS222,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS230,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS230,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS231,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS231,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS240,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS240,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS241,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS241,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS301,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS301,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS302,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS302,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS303,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS303,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS304,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS304,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS310,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS310,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS310p,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS310p,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS311,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS311,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS312,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS312,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS312p,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS312p,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS313,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS313,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS313p,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS313p,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS314,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS314,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS314p,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS314p,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS315 ,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS315 ,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS315p,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS315p,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS401,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS401,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS402,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS402,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS403,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS403,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS404,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS404,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS450,Glycosan Kit,<13,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS450,Glycosan Kit,<13,2 Day,1,0,0,10,10,12,16.54,17.07
GS700,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS700,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS705,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS705,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS711,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS711,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS750,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS750,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS755,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS755,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
GS760,Glycosal Vial,N/A,Overnight,1,0,0,16,29.6,32.62,37.17,38.66
GS760,Glycosal Vial,N/A,2 Day,1,0,0,10,10,12,16.54,17.07
